01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective
-12.632466,-0.200611,4.702579,-0.917059,4.776223,-1.771808,-9.520365,-3.8455,1.761173,3.000393,-2.495253,5.946749,6.708597,-0.800691
-12.627764,-0.181198,5.492813,-0.752958,5.616125,-1.017299,-11.669893,-3.980289,0.32614,4.788024,-0.990931,6.028051,5.326459,-0.780436
-12.623062,-0.161785,6.283047,-0.588857,6.456027,-0.26279,-13.819421,-4.115077,-1.108893,6.575656,0.513392,6.109353,3.944322,-0.770001
-12.618361,-0.142372,7.073281,-0.424756,7.295929,0.491719,-15.968949,-4.249865,-2.543926,8.363287,2.017714,6.190655,2.562185,-0.725344
-13.695364,-0.233599,4.438497,-1.130639,4.476939,-2.548878,-8.527805,-4.055584,3.104259,1.762738,-3.957599,6.377537,8.422362,-0.733865
-15.409322,-0.262834,4.993969,-1.272137,5.037222,-2.867867,-9.595049,-4.563136,3.492753,1.983343,-4.452888,7.175678,9.47641,-0.600307
-11.576796,-0.197463,3.751895,-0.955738,3.784391,-2.154586,-7.208618,-3.428217,2.624054,1.490056,-3.345389,5.390981,7.119487,-0.932523
-9.862838,-0.168229,3.196423,-0.81424,3.224107,-1.835597,-6.141374,-2.920665,2.23556,1.269452,-2.8501,4.59284,6.065439,-0.990341
-7.320557,-0.124865,2.372501,-0.604358,2.39305,-1.362447,-4.558351,-2.167824,1.659314,0.942233,-2.115448,3.408973,4.501989,-0.829838
-8.93831,-0.152459,2.896795,-0.737914,2.921884,-1.663531,-5.565691,-2.646886,2.026002,1.150455,-2.582936,4.162314,5.496873,-0.950246
-9.496309,-0.366525,3.783704,-1.173828,3.180552,-1.394209,-5.718479,-3.148536,1.924655,1.847831,-3.229348,4.568386,6.562959,-0.819603
-10.430532,0.026637,2.674337,-0.471259,3.333423,-2.314425,-6.68953,-2.752365,2.592061,0.716965,-2.528984,4.710971,5.69163,-1.024558
-11.186333,0.344711,1.77684,0.097131,3.457098,-3.058896,-7.475127,-2.431856,3.132004,-0.197926,-1.962377,4.826325,4.986711,-0.797128
-10.848329,0.202464,2.178213,-0.157061,3.401789,-2.725959,-7.123797,-2.575192,2.890534,0.211226,-2.215771,4.774738,5.30196,-0.934831
-10.172319,-0.082031,2.980958,-0.665444,3.29117,-2.060084,-6.421138,-2.861864,2.407595,1.029528,-2.72256,4.671562,5.93246,-1.037973
-10.223973,0.550537,3.181927,-0.394459,2.706535,-1.715047,-6.474133,-2.228188,2.446188,1.065688,-2.411611,4.083978,6.252521,-1.156478
-10.307551,1.574053,3.507101,0.044003,1.760576,-1.156765,-6.559879,-1.20288,2.508633,1.124195,-1.908486,3.133248,6.770391,-0.971853
-10.199365,0.249186,3.086187,-0.523555,2.985051,-1.87942,-6.448886,-2.530067,2.427802,1.048462,-2.559745,4.363899,6.100046,-1.126521
-10.253458,0.911619,3.296644,-0.239776,2.372814,-1.518093,-6.504383,-1.866473,2.468218,1.086329,-2.234116,3.748573,6.435219,-1.151968
-10.280504,1.242836,3.401873,-0.097886,2.066695,-1.337429,-6.532131,-1.534677,2.488425,1.105262,-2.071301,3.440911,6.602805,-1.077579
-9.869532,0.646177,3.355605,0.251804,3.029446,-1.447343,-6.121698,-2.130913,3.141409,1.269808,-1.766921,4.398135,6.478208,-0.971242
-10.595609,0.66548,3.075152,-0.950512,2.188998,-1.867887,-6.844209,-2.114512,1.763815,0.873606,-2.952787,3.574214,6.133384,-1.332324
-11.183018,0.681096,2.848261,-1.923206,1.509061,-2.208114,-7.428734,-2.101243,0.649318,0.553072,-3.912173,2.907648,5.854415,-1.177862
-10.920321,0.674112,2.94973,-1.488204,1.813138,-2.05596,-7.167326,-2.107177,1.147736,0.696419,-3.483122,3.205745,5.979174,-1.283769
-10.394926,0.660145,3.152667,-0.6182,2.421292,-1.751651,-6.644512,-2.119045,2.144572,0.983113,-2.625022,3.80194,6.228691,-1.25644
-10.831496,-0.014345,3.090907,-0.820152,1.503791,-1.814067,-6.966303,-2.793875,1.936298,0.873772,-2.818957,2.899173,5.943728,-1.110061
-10.520165,1.34957,2.997426,-1.34655,2.68849,-2.014635,-6.88177,-1.431525,1.286923,0.785891,-3.348659,4.067192,6.246843,-1.345925
-10.268292,2.453,2.921798,-1.772414,3.646931,-2.176898,-6.813381,-0.329361,0.761567,0.714794,-3.777197,5.01214,6.492069,-1.01198
-10.380933,1.959531,2.955619,-1.581962,3.218303,-2.104332,-6.843966,-0.822263,0.996513,0.746589,-3.585549,4.589546,6.382401,-1.183124
-10.606214,0.972593,3.023263,-1.201057,2.361047,-1.959199,-6.905134,-1.808069,1.466405,0.81018,-3.202253,3.744359,6.163064,-1.38088
-11.211427,1.395898,3.063667,-1.330751,2.213607,-1.279402,-6.379733,-1.833298,1.363328,0.715798,-3.255106,4.333264,5.603568,-1.355144
-12.241209,1.859467,3.144214,-1.45517,1.782776,-0.146917,-5.543334,-2.095218,1.301933,0.577345,-3.254657,5.096571,4.649091,-1.300058
-14.937213,3.073107,3.355088,-1.780903,0.654846,2.817967,-3.353613,-2.780933,1.141199,0.214873,-3.253482,7.094935,2.150238,-1.098434
-9.938547,0.822895,2.964106,-1.17696,2.746143,-2.679231,-7.413578,-1.509547,1.439216,0.886934,-3.255661,3.389764,6.783367,-1.380083
-8.908766,0.359325,2.88356,-1.052541,3.176974,-3.811716,-8.249977,-1.247627,1.500611,1.025386,-3.256109,2.626457,7.737844,-1.357822
-6.212762,-0.854315,2.672686,-0.726807,4.304904,-6.7766,-10.439698,-0.561912,1.661345,1.387859,-3.257285,0.628093,10.236697,-1.197908
-7.957652,-0.06883,2.809166,-0.937627,3.574892,-4.857687,-9.022481,-1.005716,1.557316,1.153262,-3.256524,1.921461,8.619405,-1.360213
-13.192322,2.287622,3.218607,-1.570084,1.384857,0.899054,-4.77083,-2.337129,1.245228,0.44947,-3.254242,5.801567,3.76753,-1.214086
-9.705205,0.087418,2.785763,-0.927872,2.170708,-2.673813,-7.710322,-0.814812,1.369469,1.041197,-3.415935,3.955383,6.879228,-1.376281
-9.485886,-1.031376,2.509574,-0.543958,1.173433,-2.491027,-8.061942,0.269047,1.247183,1.269526,-3.675196,4.987864,6.88767,-1.308241
-8.911701,-3.960418,1.786501,0.461144,-1.437468,-2.012488,-8.982495,3.106628,0.927032,1.867297,-4.353949,7.690935,6.909772,-1.050221
-9.976298,1.470323,3.127151,-1.402417,3.403408,-2.899748,-7.275696,-2.154535,1.520624,0.758968,-3.095471,2.679166,6.868794,-1.363993
-10.195617,2.589118,3.40334,-1.786331,4.400683,-3.082533,-6.924076,-3.238394,1.642911,0.53064,-2.836211,1.646685,6.860352,-1.307661
-10.769801,5.518159,4.126413,-2.791432,7.011584,-3.561072,-6.003524,-6.075974,1.963061,-0.067132,-2.157458,-1.056385,6.83825,-1.004828
-10.398181,3.622443,3.658431,-2.140917,5.321773,-3.251355,-6.599318,-4.239454,1.755855,0.319754,-2.596756,0.693079,6.852555,-1.202132
-9.283321,-2.064702,2.254483,-0.189372,0.252343,-2.322205,-8.3867,1.270107,1.134238,1.480411,-3.914651,5.941471,6.895467,-1.22026
-10.211716,0.596937,2.302387,-0.459843,2.999119,-2.692283,-7.279983,-1.2687,1.225976,1.55795,-3.746973,3.115757,6.939833,-1.336312
-10.856599,0.530335,1.300309,0.603198,3.545272,-2.576595,-6.863713,-1.139907,0.896408,2.575917,-4.489082,2.579493,7.044616,-1.226796
-9.414596,0.679262,3.541024,-1.773834,2.324036,-2.83528,-7.79452,-1.427897,1.633344,0.299673,-2.829676,3.778614,6.810314,-1.430475
-8.769713,0.745865,4.543103,-2.836876,1.777882,-2.950968,-8.210789,-1.55669,1.962912,-0.718294,-2.087566,4.314878,6.705531,-1.454935
